id;state;comprador;fecha;pagado;precio
1;IN_CHARGE;Forward Operations;Intelligent Fresh Sausages purple;Malta Personal Loan Account;Director Customer
2;IN_CHARGE;extensible;Chair;Credit Card Account;Tasty Metal Keyboard
3;IN_CHARGE;complexity;Baby;programming;Small Frozen Chicken SDD Designer
4;SHIPPED;parsing;system IB;mobile Pula;Marshall Islands
5;IN_CHARGE;Clothing;modular;3rd generation Computers non-volatile;Cotton
6;DELIVERED;encompassing;responsive web-readiness;Wisconsin convergence Steel;strategy West Virginia
7;DELIVERED;feed Internal moderator;Peru Savings Account Internal;generate cross-platform engineer;New Taiwan Dollar Monitored violet
8;IN_CHARGE;index;Home;neural Parks brand;Chips Path turquoise
9;DELIVERED;Baby Cotton Landing;copying Tuna Handcrafted Plastic Table;Corners;connect Armenia
10;SHIPPED;Mill Incredible SMS;bluetooth;calculating scalable;attitude-oriented Clothing
